address,airdrop_dog,addr_type,funded_txo_count,receive_count
bc1pectcql7n8dc5z8an739nfvccvyssa4t95m3kdrj2hdmyy8p3q0kq2kfuhf,2669418.0,p2tr,13,3
bc1pf6ckap267ydqduxg8ajn5g7e8sy2p05pmsxwf57u89r0mecx8l3q5qp0fa,2669418.0,p2tr,11,3
bc1pfvajzdyanycdfu7c93jxnzyj559wkd96uvt4lc350e2s02hxanzqfvzjcj,2669418.0,p2tr,10,3
bc1pghswyr8ej3vfgm8trg6pxlyz7fnkaklqjv8wy5vej55786qhvz9qt93kef,2669418.0,p2tr,15,3
bc1pgsw0zd7rnj93ehcszrtxcnnzz4r59zrkya8t0yl82mhgenmafa6sggk5my,2669418.0,p2tr,11,3
bc1phajd24d3zyy3vu46lvfchlcuhqs3mrm9zplmjga7ws83zkca4d4s5v7txr,2669418.0,p2tr,12,3
bc1pjkhp6aj0enlgmtj3wzvya9f3dn44f5lkxca0snnc56nvk37f5d7sys56ey,2669418.0,p2tr,47,3
bc1pjt2kxj50kfavcwg4ucf8vvj8chujdnsymjh5k3jjk5p9w07mg86qcqfv0w,2669418.0,p2tr,11,3
bc1pknm0y9cq0ygyjjw734e7zs5ygcm46acdt0mfhqys4uyt2ktedq8q7zlk03,2669418.0,p2tr,21,3
bc1pmzvcyrmutdjq08l9dt500qxy50csnzmpr2rputwl9yuv9s79w6esth4y5h,2669418.0,p2tr,19,3
bc1pperar9j7vjqdtk88zq28jf97en384v9ushk475zd35tzh0qt4ays45wmac,2669418.0,p2tr,27,3
bc1pprk89rufkdlaj3jh42dsgf96y30tt4awd4hntgxu0pg3njdkyzxqz50jxv,2669418.0,p2tr,23,3
bc1pqf7p08gwye6ryfujkuulmd425gewkwfa8h9tgsjd6skyalqjd9yqhcsr9d,2669418.0,p2tr,15,3
bc1pryqlh9vrgp9gzv8fq6hvd23ea9wkw04xh2aud24fq32chmstcmus7ftsmv,2669418.0,p2tr,27,3
bc1ptcq8sudm43kumx7d0mew04j0c69p7xmzec5sqy9a6s6kqvnmjqxqekepzs,2669418.0,p2tr,24,3
bc1pu6afttvn3fkcchhrqyuk92n9wg2e478s8g6flakehjsm889qt8aqw49jfz,2669418.0,p2tr,11,3
bc1pvdnh4m42zvegp65pwh29u7u56nxv3snvruk3ccjr2mezfatatfnswadl6z,2669418.0,p2tr,11,3
bc1pxj93k7zppwty8lr7cw9q39yc52qsr094j7etd6s097q6f5j98saqm58rah,2669418.0,p2tr,27,3
bc1pj9c7vza842k075jd9lskfdvzmllldx5z03z382gjkqsjcq8rr5hs4qr2l0,1779612.0,p2tr,39,2
bc1pjfu7fvfd7z9h2gf707dftsn470xptkwdcc7la5peeu5ny6c7pc2qsr29q9,1779612.0,p2tr,16,2
bc1pjhavulmmf4y8wvs2qdelfzfx8ldptdxyxa5jvqtpnmlq2v4sdqess8r6j5,1779612.0,p2tr,31,2
bc1pjrmmprvhasa53grg2h7wyn7359dxak7uakfntcqv0q4v8sxtw9nqnaq3yq,1779612.0,p2tr,9,2
bc1pjx6cclef47auxculef4npnmeqdnulcjy0qymfpde8whjeagjtl3saadllk,1779612.0,p2tr,34,2
bc1pkdhjlhq46sk26rhtnrrt9g2t4jxgzsyrgpf95est90tv5myz7jcsfsx26m,1779612.0,p2tr,10,2
bc1pkdu3vghrtsknls26cax0qpg2saj5m4u30d3m7atrdmspwh6426vq3pkc5u,1779612.0,p2tr,11,2
bc1pktxqdu6ahqcn0hexr52hfpytfsxh575zjpz57w5sl3qrqyyy0khqj6ezg0,1779612.0,p2tr,10,2
