address,airdrop_amount_dog,first_receive_block,first_receive_time,receive_count
bc1pslm7qwzcvudz7zsdukagx7n07xsqcj867fh2yjtwfx9tzpewpvrqrvh6wy,14236896.0,840654,2024-04-24T12:27:21Z,16
bc1p469uj5lq9mw49gksa2mu3zgteqg3an2hqvfrnqqjdadf0mcp5vtqx2hv8p,13347090.0,840654,2024-04-24T12:27:21Z,15
bc1p4df4ggsr7dx4zht78ktahacd3le2eyekk9twu7kkgq0t40fs3jns35ys0u,13347090.0,840654,2024-04-24T12:27:21Z,15
bc1pfn6ynkrxmls070vedaptk6lepaawtr4d93mc0xfg0d9ppvplh58sw8f9ec,13347090.0,840654,2024-04-24T12:27:21Z,15
bc1pq8hfy04z00pq5t3dadfz33w34umwugljcsyp6nqa7z7pcjhpu2xqelfhn4,13347090.0,840654,2024-04-24T12:27:21Z,15
bc1ptt2cm0gch5x8rrwa388ygcl2regxc64mzev5a3umvvyg58f4cf0stn0qpm,13347090.0,840654,2024-04-24T12:27:21Z,15
bc1pwc9x74zupvxlzkt53el8e43lp9paef62zcw3rtctswl3hnl2hq6qm8dgk6,13347090.0,840654,2024-04-24T12:27:21Z,15
bc1pyry62ln4zw4ytwlxx37gpkl54fg0hhrtxexfmm23ewj9cw9he9wqye0m0l,13347090.0,840654,2024-04-24T12:27:21Z,15
bc1q50stkhpru489t0e7tyu3qxc5xuewnd8nq549zv,13347090.0,840654,2024-04-24T12:27:21Z,15
bc1pl42kk4mwerzn8mphcnt34gfurjq9s8qmx2t7wdrxrucyjp86uklqdjmkxt,12457284.0,840654,2024-04-24T12:27:21Z,14
bc1pqaeehw5da9ax29kngtpz2l6cw4p72u2xz689djtm867zpgck20uqya7a7v,11567478.0,840654,2024-04-24T12:27:21Z,13
bc1pqe5fyy49tgwnwa2hkc7m58ej6zknz7lgmlu9wsy33scmkeaw49psd5ku0z,11567478.0,840654,2024-04-24T12:27:21Z,13
bc1pzqgz5e38swtl3ckea2safdrmentv59gd9eh2epurlmgd0v7q2lkspua2kn,11567478.0,840654,2024-04-24T12:27:21Z,13
bc1p9tlj69tyk6mcs89cch0tytfy7k68cwu5ydy7pdlznp5fzc7rv4lsglus8x,10677672.0,840654,2024-04-24T12:27:21Z,12
bc1pdvx3vs7se88kv0g68lltwnl9thyu60g4qz23vsl98qdy722xufuqqpmsx8,10677672.0,840654,2024-04-24T12:27:21Z,12
bc1pe35hfktcwu0k4fpmd7urv0t56unnf926k2h9z66gseh85suq6lxqrtnrj7,10677672.0,840654,2024-04-24T12:27:21Z,12
bc1pke9enu4alf778juqul9acsx387qtmqyhmdarhplu66atn28h2n7sehnny5,10677672.0,840654,2024-04-24T12:27:21Z,12
bc1plsg4xz2jvknf87x0a9tn9rys4u6xpwgh95tglnxd444pn8s0cv2sga0try,10677672.0,840654,2024-04-24T12:27:21Z,12
bc1pvylp3kw9fsuz4tw3x3u06fty6t5lz69sr0y9xvrsh3xxtvzhmchqz5nmt0,10677672.0,840654,2024-04-24T12:27:21Z,12
bc1p6zzx58ajw3cmm23cu0uw3r8z05qdcmcx53lu2st7jfaa3cdd6c6s77qry9,9787866.0,840654,2024-04-24T12:27:21Z,11
bc1pfrx7a8pam6fvj9ze42079fafcsnjjrhzn42dng7rc45kgk0pyz5st5p95j,9787866.0,840654,2024-04-24T12:27:21Z,11
bc1pgm2ps2hql96c43r3meajequkhe4kdcpu30cx9s24jnl6yjv2mxksahz5y6,9787866.0,840654,2024-04-24T12:27:21Z,11
bc1ppxm2y58nh22ykjlelvwmvewakr2j47nq9qk5hja4z3g2063d6d3q77xkcu,9787866.0,840654,2024-04-24T12:27:21Z,11
bc1pqq2kkmyxdnu4m5es2m7q9rx9k5nrfse753uvq86sdkm26zq5z4nsamyfkx,9787866.0,840654,2024-04-24T12:27:21Z,11
bc1psxetn5we9gy2ldxme2fc9l6dk9nvzetmrqz2gykp4dx0d5m279ls6vhqu7,9787866.0,840654,2024-04-24T12:27:21Z,11
bc1qwvsyrwp6egjqq02d46l05tcw7wjr9vtpsxdmxh,9787866.0,840654,2024-04-24T12:27:21Z,11
bc1p5f45dcur7y6luwj7terecxuak92nmzvrh62uccnuy6202xq8m27qg87nkz,8898060.0,840654,2024-04-24T12:27:21Z,10
bc1p6tj335sr2fxpyl47c7jxg7gendmwx3qwpyh82ytpd4gy3jvdccxs6x56qf,8898060.0,840654,2024-04-24T12:27:21Z,10
bc1pan8nyvu5ntqhwyz0pwdrej0salj3qfzx6jfzs6hnpu2hx45ewursxdey72,8898060.0,840654,2024-04-24T12:27:21Z,10
bc1pfq584rhewaegfskdypajr2udd7cyxad3e6h97886ux4ga99vdj0qhrdqmw,8898060.0,840654,2024-04-24T12:27:21Z,10
bc1phjx6m8qdrmyx5gpjzhhgntgfd92t89pxuhl3uqwvu36zf7xygrrsnswpp0,8898060.0,840654,2024-04-24T12:27:21Z,10
bc1ptuzw9vpvmlfrfgmsjnqzn9g09a08d0fvj6x4uka55macnc6mnx7q24w6k7,8898060.0,840654,2024-04-24T12:27:21Z,10
