address,airdrop_dog,addr_type
bc1p4ptdljlr0659yrx25e29mr9r4ukv9rnw35sscdnp3qze3487ys5s5nmgj8,889806.0,p2tr
bc1p7x4gtm5xh7hhal5ptlxuyax4d8lyk8w7u80kusgfkryejhj8czdsezza5n,889806.0,p2tr
