rank,address,total_dog,lth_dog,sth_dog,lth_pct,sth_pct,utxo_count,lth_utxos,sth_utxos,weighted_avg_age_days,oldest_age_days,newest_age_days
62723,bc1pvss3ddrjaqy92eyehdhxgrdgvdcum9n7483nzpxjwklezm7sz6cqwe6pt6,2600.09709,2600.09709,0.0,100.0,0.0,1,1,0,667.05,667.05,667.05
62724,bc1pmrseglkjpf93arazadreyhwqmskgwsurre89lkalnnsw0s3apc8qk3qmxe,2600.0,2600.0,0.0,100.0,0.0,5,5,0,805.25,805.25,805.24
62725,bc1qv52qpxhnxdw4k2zcm5sx0y3l7up7cug4gpxkrv,2600.0,2600.0,0.0,100.0,0.0,1,1,0,767.73,767.73,767.73
62726,bc1pgfste92h65g4futtdx6re4hpl769v8n3l30qg6l9s76tgpquk2zqv0djk7,2600.0,2600.0,0.0,100.0,0.0,1,1,0,758.62,758.62,758.62
62727,bc1p8ts34fzy32stqus323tken6ry878lzgpuwp6sg4qa8zrmw3euywq6pesuy,2600.0,2600.0,0.0,100.0,0.0,1,1,0,596.36,596.36,596.36
62728,bc1pvjmh9mqdypr8hr779wd3hr45k8zk4swcpr8dm9dvkednxtr2j0wqs6pr0w,2599.06961,2599.06961,0.0,100.0,0.0,1,1,0,630.04,630.04,630.04
62729,bc1pdpx3tkvyjuf3rc3nead5v5yggeqxtygzgwqjd2qlnyx0u8zu50dswf29ru,2597.02923,2597.02923,0.0,100.0,0.0,2,2,0,334.42,397.47,262.38
62730,bc1p8ldswhx6trfy4eep4nazrzw6qtgcqp5c07hfew6v6r979crlnegs5ut3lf,2595.1402,2595.1402,0.0,100.0,0.0,1,1,0,698.32,698.32,698.32
62731,1F3KgkHpyTVZX6n6syEEthWqmks6Ljy3WV,2594.15418,2594.15418,0.0,100.0,0.0,1,1,0,431.74,431.74,431.74
62732,bc1puw6rj959gykzfgxtq6tf0p6k4l5tgehygnd5yujshn4zv3chljkqcp7xr8,2591.2928,2591.2928,0.0,100.0,0.0,1,1,0,612.6,612.6,612.6
62733,bc1ph63etmmhffnc6znejp83q7nwnfjatfu52apq33ejfqaf9dgjkjvs05s8gx,2588.0,2588.0,0.0,100.0,0.0,1,1,0,793.74,793.74,793.74
62734,bc1pa6pal39m8famzlt9amxamahplcwn5al2659hmxxymfv60vv8x6dsgv8lva,2586.68136,2586.68136,0.0,100.0,0.0,1,1,0,500.35,500.35,500.35
62735,bc1p9kqxcj69fxjywvrs7gynm4ksgychls2qk35ead4padvqnpud6klqna3kzv,2585.92804,2585.92804,0.0,100.0,0.0,1,1,0,632.42,632.42,632.42
62736,bc1qcz0r52j8zddr64t5w93t3zn7h3r6f74wju839f,2583.08,2583.08,0.0,100.0,0.0,1,1,0,583.33,583.33,583.33
62737,bc1pd8jk0pd2sv0980jeaennvre8ntaznun7v0xwp5h4kkxs2j7efdkq5dkar8,2580.91,2580.91,0.0,100.0,0.0,1,1,0,768.94,768.94,768.94
62738,bc1p9wzxew5gdaum4mkkxwpn39j4a2pzw7am5zf7434yfpj2ys698mjsqjapfj,2579.42584,2579.42584,0.0,100.0,0.0,1,1,0,745.02,745.02,745.02
62739,bc1phnf45z8y0y4ndmwz33m7t4f7j8lr2lv3pnr5tzpgxv7yau55quas8cxgm4,2577.05569,2577.05569,0.0,100.0,0.0,3,3,0,367.51,374.68,359.72
62740,bc1p4akuvudsx4tv36mm4marpefwn8cjv4g58uglcmkkpwl0dpe9rnjszd7p9e,2575.806,2575.806,0.0,100.0,0.0,1,1,0,662.42,662.42,662.42
62741,bc1pwxthex4myulz6amhwy0smdgavq7ncvtrawtyz7khavv4ss9u7axs8ep89p,2575.806,2575.806,0.0,100.0,0.0,1,1,0,741.77,741.77,741.77
62742,bc1pvwld5v8elpj5vet7gz0nljmgh3seet7v45v9sk2wuq8p4tu0z68qguswkr,2575.806,2575.806,0.0,100.0,0.0,1,1,0,734.35,734.35,734.35
62743,bc1pv4ceck07dmzwuysmv54fg407gdqsmk8895t8ts74fxcqwhuzyvdqzj0yzd,2573.89716,2573.89716,0.0,100.0,0.0,1,1,0,430.64,430.64,430.64
62744,bc1q4v2fa0ydzuz5aj6jzczrgx3862epqzhhvsw5ts,2568.16761,2568.16761,0.0,100.0,0.0,1,1,0,500.32,500.32,500.32
62745,bc1p8w98htcr9cx03fuzuv538ldzuh5r2nduu07m6hypv3avukv058uqw5kq90,2567.49873,2567.49873,0.0,100.0,0.0,1,1,0,500.3,500.3,500.3
62746,1GLpiEqsua6gBSQjZRcRomwgoqVGJT15Zg,2565.81459,2565.81459,0.0,100.0,0.0,1,1,0,804.48,804.48,804.48
62747,bc1ph75mc53sclt2dg6c6cwjh8mzxrkymn9cg3lsfdhz6d8kenp6s86qxss7cs,2565.73556,2565.73556,0.0,100.0,0.0,1,1,0,628.39,628.39,628.39
