lapide,address,dog,utxo_count,posicao_residencial,airdrop,assinou,direito,x_m,z_m
L14865,bc1qacek3hsyd9jmtr8kmkr48w75l7hxeqlu3dffpx,0.25,1,81994,0,0,licença paga + mint do deed = lote no anel de expansão,-6686.78,-2053.59
L14866,bc1pen26uy7nh76faje8twvdn3698a94j44gwr8hvu2e2zng20nuu38q3a276d,0.25,1,85708,0,0,licença paga + mint do deed = lote no anel de expansão,-6686.32,-2055.02
L14867,bc1qv3quwltknjmss3z566nl54yesxtvuukjawg0e6h2u8fr5p0t5x0qw6y2fa,0.25,1,85731,0,0,licença paga + mint do deed = lote no anel de expansão,-6685.85,-2056.44
L14868,bc1pfgll3a9hqsy8htsvdts9mk59kwalt94fn95hc06ssfgygdtw009s4480x3,0.24676,2,81652,0,0,licença paga + mint do deed = lote no anel de expansão,-6685.39,-2057.87
L14869,bc1pt2axexjv8mu2hmv8wjrw0jteyf9d44l6gls95d90hllypzk826aqe9k295,0.2452,1,81656,0,0,licença paga + mint do deed = lote no anel de expansão,-6684.93,-2059.29
L14870,bc1p3p0ddts2ug6vk8fmlt7jnjg9rc0lr3hcudm689uarx0qr64g5zjqjrsyw2,0.24413,1,85691,0,1,licença paga + mint do deed = lote no anel de expansão,-6684.46,-2060.72
L14871,bc1pdf3eh2jenrk0w4tl62hnaelp3aawwfjfpc5vn402qwf5gtdahm8qujltvk,0.244,1,81649,0,0,licença paga + mint do deed = lote no anel de expansão,-6684.0,-2062.15
L14872,bc1pqmtjk5zlr4y4fjhryfq26t5chs34uudhekxnnesyfnktp4a6vhaqxjh4cv,0.2432,1,81780,0,0,licença paga + mint do deed = lote no anel de expansão,-6683.54,-2063.57
L14873,bc1pjgzdn6g38qh3hnjtmlsfeku56wg7j6ju3s9kdfdck6s3fy3r08vsgv27c0,0.24299,1,81842,0,2,licença paga + mint do deed = lote no anel de expansão,-6683.07,-2065.0
L14874,bc1p4wy62hxxtys06ha9mfuel32etseazq7zak3wgvxmtvyyshqnfjjs2ukq2g,0.24218,1,81754,0,0,licença paga + mint do deed = lote no anel de expansão,-6682.61,-2066.43
L14875,bc1pj3ncuyt4kta0fxlfku5knz3r60d7ffgukyytla6dxyfdew3h0gds723quk,0.2416,1,81745,0,0,licença paga + mint do deed = lote no anel de expansão,-6682.15,-2067.85
L14876,bc1qd8nztmhwh3frqdz5peqd9yqqu2mdv84n2n4vpg,0.24156,1,81858,0,0,licença paga + mint do deed = lote no anel de expansão,-6681.68,-2069.28
L14877,bc1ptcw8xuxjwcts3w6r2j37qmqfsr606e7fe0q8ax3qwv4tw75jk8hqtpcucs,0.23932,1,81829,0,3,licença paga + mint do deed = lote no anel de expansão,-6681.22,-2070.71
L14878,bc1p9yggwcq6g76qwe3ty5kjme7srcdfxh4r5ndlaej3cefrvjwh5y7szrh75e,0.23775,2,81659,0,1,licença paga + mint do deed = lote no anel de expansão,-6680.75,-2072.13
L14879,bc1qfuk40dp9jr8s93u629735ykhdy7lryx8hkjwuz,0.2375,1,81820,0,0,licença paga + mint do deed = lote no anel de expansão,-6680.29,-2073.56
L14880,bc1pdxse3yt9azvu5hqt0my50tf84r98xxq8xgwuzf3n0ruypnkwd43qm8qt9a,0.23529,1,81794,0,0,licença paga + mint do deed = lote no anel de expansão,-6679.83,-2074.99
L14881,bc1pj56alh8cg76avzs56gf7exnhwjvcmm94kmf8uswu8c4xfyu62rgsm3d933,0.23529,1,81795,0,0,licença paga + mint do deed = lote no anel de expansão,-6679.36,-2076.41
L14882,bc1pucelrpzuvvtw3xzp7ud2ch7k9st70pa25e08e4p363h9wwtrwaysmph0ax,0.23509,1,81932,0,1,licença paga + mint do deed = lote no anel de expansão,-6678.9,-2077.84
L14883,bc1pdt8p5emsafz3h0jtym6fnuetk2y5xqq7e93m6wmqhk4y7kxa752s8rmnwz,0.23495,1,82011,0,0,licença paga + mint do deed = lote no anel de expansão,-6678.44,-2079.27
L14884,bc1p297ns776c802dwqtlwcg8yqt48regc7p92jk6tx5vcphx9djt2rsg03jmt,0.23393,1,82029,1,2,licença paga + mint do deed = lote no anel de expansão,-6677.97,-2080.69
L14885,bc1p2x2twkupdctf3r92j3qya0vfw3tdwjlecav0gmyqak8y4245v0msrmsjkl,0.23314,2,81902,0,2,licença paga + mint do deed = lote no anel de expansão,-6677.51,-2082.12
L14886,bc1pl6p0z76lt53kxz6avchs2m4trhltptfecjslztuauc5uf7xkjrmq6d9cdg,0.23,1,81894,0,2,licença paga + mint do deed = lote no anel de expansão,-6677.05,-2083.55
L14887,bc1p5euwf0wrs6dwljtydrx5kw9a4v9swxm8khd0kg5muckfr5pya2dqm9ytf7,0.2293,1,81840,1,1,licença paga + mint do deed = lote no anel de expansão,-6676.58,-2084.97
L14888,bc1ph9ymn6hpnn2ssh8x94dlskmhxcep2rmn3r78yurj5mtmjzzz7m7s7yck3r,0.22858,1,81792,1,3,licença paga + mint do deed = lote no anel de expansão,-6676.12,-2086.4
L14889,bc1q9xkvc4c5xjv2s2wcdhhmq3wvz42qsyc80ry7t3,0.22817,1,82014,0,0,licença paga + mint do deed = lote no anel de expansão,-6675.66,-2087.83
L14890,bc1ppt0qwjw9vlqdy7zy3dn7pvrl8lfyrpggnuzknj9ql4y3lxrye64suzlnf3,0.22777,1,81950,0,1,licença paga + mint do deed = lote no anel de expansão,-6675.19,-2089.25
L14891,bc1psfj2ymt9cphdw2c3yd9qzpkzatttlds5kjeg27cf2d4lpkztpdss40en5x,0.22668,1,82017,0,4,licença paga + mint do deed = lote no anel de expansão,-6674.73,-2090.68
L14892,bc1qefseds6zclrrd0cytzh93pzmp4q9g8v7qqy4mt,0.2263,1,82061,0,0,licença paga + mint do deed = lote no anel de expansão,-6674.27,-2092.11
L14893,bc1qzrlg80j8jvu94dym7v48m9rpyu6jzxu6zwlkn5,0.225,1,81808,0,0,licença paga + mint do deed = lote no anel de expansão,-6673.8,-2093.53
L14894,bc1p3x6567s2xt6fumtj00ypkqd0002e9ngukmf2rlxunfry7wpjsfdqfw0y32,0.22445,2,85667,0,9,licença paga + mint do deed = lote no anel de expansão,-6673.34,-2094.96
L14895,bc1puuyvx26t2npmgh9yvg6yupvdpvx5vn3zzf3nzw7a97m7652yc25sc99x3d,0.22438,1,81940,0,0,licença paga + mint do deed = lote no anel de expansão,-6672.87,-2096.39
L14896,bc1qp7gg53plkeh0mhnzmyjjq2ve4xnhx8g965lcne,0.22408,1,82019,0,0,licença paga + mint do deed = lote no anel de expansão,-6672.41,-2097.81
L14897,35DNyT5rXanCWLQBmdk67gTjDnJP4GpCsA,0.2238,1,81942,0,0,licença paga + mint do deed = lote no anel de expansão,-6671.95,-2099.24
L14898,bc1p5s2vtgmyrkzy0cemzelcz7sar45xf0zprjckprwwj8z8jdrz2fgq9vz0gd,0.22027,1,81935,0,1,licença paga + mint do deed = lote no anel de expansão,-6671.48,-2100.67
L14899,bc1qdd5fqdezmww8yqtdz03ps0j9tv6v2xmp2a0ea2,0.22,1,81787,1,1,licença paga + mint do deed = lote no anel de expansão,-6671.02,-2102.09
L14900,bc1pqsywceqfs8ag7xmjt7jzqkn583ruhh3hq5ad3z0lx4ve2ecrfy2qyj7epq,0.22,1,81922,0,0,licença paga + mint do deed = lote no anel de expansão,-6670.56,-2103.52
L14901,bc1pc8a8npqvq6h8jw64qct6js6zuylnrcgam02yldyq8800p3depd9sjsd8vz,0.2192,1,81797,0,0,licença paga + mint do deed = lote no anel de expansão,-6670.09,-2104.95
L14902,1BPHuZxxUQDBK1mPKt3qXGN1UVk8Gwzx6S,0.21721,1,81921,0,0,licença paga + mint do deed = lote no anel de expansão,-6669.63,-2106.37
L14903,bc1pv8y5gdvd5mdzrhed36q22qkzrnkt03cqy0ww73z6yq3c3sws20csy3sfw6,0.21553,1,81845,0,0,licença paga + mint do deed = lote no anel de expansão,-6669.17,-2107.8
L14904,bc1pvnsesf0l554qz6g7jjgtgcxe3ffk0el2vj2syw8zxlc650nhlqjq2hzy36,0.2154,1,81948,0,1,licença paga + mint do deed = lote no anel de expansão,-6668.7,-2109.23
L14905,bc1pztyfp4vg0mznqf2suy0ue03nj03t6cy74znh98w8spl5xexsrv9s2ep6xx,0.2128,1,81814,0,0,licença paga + mint do deed = lote no anel de expansão,-6668.24,-2110.65
L14906,bc1pnlhs840lm0lgmvlu6axslguzgcmxjdt97km2nj6jwv6kxdlyy58qksrtdv,0.21199,1,81916,0,3,licença paga + mint do deed = lote no anel de expansão,-6667.78,-2112.08
L14907,bc1q4sg6209kelytp8lzqkf5334mjdwkv69na9sqnl,0.21,2,81954,0,0,licença paga + mint do deed = lote no anel de expansão,-6667.31,-2113.51
L14908,bc1pw2j2sutajmr3gdddrgw4m4ayqhu2c750u8qwcjkjr6dllccq8ydsu8qfrp,0.20652,1,81859,0,0,licença paga + mint do deed = lote no anel de expansão,-6666.85,-2114.93
L14909,bc1pr5lr2ah3ux2tqu5wdq4f54dfzzgwznuuqhl4mrf2ln4t3e58u0cs9eq6jr,0.205,1,81774,0,0,licença paga + mint do deed = lote no anel de expansão,-6666.39,-2116.36
L14910,bc1p5dxas83gcjs9k5yt2pqxu2m72cemstsl9546ul289edhpula7xgqrx5mkh,0.2046,1,81910,0,2,licença paga + mint do deed = lote no anel de expansão,-6665.92,-2117.78
L14911,bc1pf2va3xsehkntzfwwfc8n79q3fayavsj553pgsmu0nqv3dfhn79zq6cxmr7,0.20346,1,81953,0,1,licença paga + mint do deed = lote no anel de expansão,-6665.46,-2119.21
L14912,bc1pjl0a72kfktnmytuf708d5x2zf6cpsqrevvkarq6800uhmd0egmpqf8eqsz,0.2012,1,81786,0,0,licença paga + mint do deed = lote no anel de expansão,-6664.99,-2120.64
L14913,bc1pmj09rm0y50739nupem7zsn4z8lng43e4ctx0epqy7wjy3kqwh5xssfjtsz,0.20114,1,81934,0,0,licença paga + mint do deed = lote no anel de expansão,-6664.53,-2122.06
L14914,bc1ptfkg8jtkl2488nghksh3uuw9h2cqsyqxjnqapm40yh7lmgpyxwhq7uvd46,0.2004,1,81761,0,0,licença paga + mint do deed = lote no anel de expansão,-6664.07,-2123.49
L14915,bc1p3ufag3fhyrt7shs84qhlrl769jj6hgdr696gdcsxjy47fw9qqr7svqeqce,0.2,1,81744,0,0,licença paga + mint do deed = lote no anel de expansão,-6663.6,-2124.92
L14916,bc1pknht5mrm0ucgrz8h2n884te82jg8dtgukx0tum3sf2cst7vmxhysvun5ky,0.2,1,81810,1,4,licença paga + mint do deed = lote no anel de expansão,-6663.14,-2126.34
L14917,bc1p33kvku755y0x2xw5pltk5a0xkehwe0r3gqyze32cn6l7w7t7djuspu2s42,0.2,1,81816,1,1,licença paga + mint do deed = lote no anel de expansão,-6662.68,-2127.77
L14918,bc1pl7563v5u7edld2dzh7kd0as3ccggpcdhvlh06rh8e5fyt9vgkecqe38f9v,0.2,1,81823,1,2,licença paga + mint do deed = lote no anel de expansão,-6662.21,-2129.2
L14919,bc1pq5jrr8ljekwnp2dndgf5y4dtaeqam8l3apqxul8azjc0lkjmwwls83znet,0.2,1,81824,1,3,licença paga + mint do deed = lote no anel de expansão,-6661.75,-2130.62
L14920,bc1pplpzuvwqyd9n0dm3ycet49xne42z2vjgwx3m2mc08j33whx2wkjqzh8l3p,0.2,1,81849,0,0,licença paga + mint do deed = lote no anel de expansão,-6661.29,-2132.05
L14921,bc1qvyfyrce23ac6y52d6j60ndahlvjjuqk58cmvh8,0.2,1,81851,0,0,licença paga + mint do deed = lote no anel de expansão,-6660.82,-2133.48
